2023-10-11 12:11:15,233 - INFO - Export button disabled for candidate: KELLY ARMSTRONG, State: ND, District: 00
2023-10-11 12:11:26,352 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10457ec70>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/fd47b0db-84a8-417b-b3e1-c270611f057e/refresh
2023-10-11 12:11:26,420 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104757d60>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/59abf3ad-471b-408f-b64f-653e621a6c24/element
2023-10-11 12:11:26,420 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028a80d0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/59abf3ad-471b-408f-b64f-653e621a6c24/element
2023-10-11 12:11:26,421 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028a8bb0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/59abf3ad-471b-408f-b64f-653e621a6c24/element
2023-10-11 12:11:26,498 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1045876d0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/83cc88c9-50e0-43a5-bb1a-d27ba367b386/element
2023-10-11 12:11:26,498 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10288cbb0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/83cc88c9-50e0-43a5-bb1a-d27ba367b386/element
2023-10-11 12:11:26,498 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10288cbe0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/83cc88c9-50e0-43a5-bb1a-d27ba367b386/element
2023-10-11 12:11:26,499 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10288f4f0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/83cc88c9-50e0-43a5-bb1a-d27ba367b386/refresh
2023-10-11 12:11:26,499 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10288f460>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/83cc88c9-50e0-43a5-bb1a-d27ba367b386/refresh
2023-10-11 12:11:26,499 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10288f6d0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/83cc88c9-50e0-43a5-bb1a-d27ba367b386/refresh
