2023-10-11 12:16:12,107 - INFO - Download failed for candidate: RICHARD-E-MR. NEAL, State: MA, District: 01
2023-10-11 12:16:13,653 - INFO - Download failed for candidate: JOHN BERGMAN, State: MI, District: 01
2023-10-11 12:16:24,676 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1033bff10>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/0f13f5c9-e212-4af6-bbcc-37eb3f5db9fd/element
2023-10-11 12:16:24,676 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1033bfd30>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/0f13f5c9-e212-4af6-bbcc-37eb3f5db9fd/element
2023-10-11 12:16:24,677 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1033fe8b0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/0f13f5c9-e212-4af6-bbcc-37eb3f5db9fd/element
2023-10-11 12:16:25,052 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1043252b0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/e9a95fd0-e6e7-43da-839c-57122949911c/element
2023-10-11 12:16:25,053 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1034f6430>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/e9a95fd0-e6e7-43da-839c-57122949911c/element
2023-10-11 12:16:25,053 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1034f6550>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/e9a95fd0-e6e7-43da-839c-57122949911c/element
2023-10-11 12:16:25,054 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1034f8fa0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/e9a95fd0-e6e7-43da-839c-57122949911c/element
2023-10-11 12:16:25,054 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1033fe8b0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/e9a95fd0-e6e7-43da-839c-57122949911c/element
2023-10-11 12:16:25,055 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x104309280>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/e9a95fd0-e6e7-43da-839c-57122949911c/element
