2023-10-11 14:01:36,420 - INFO - Download failed for candidate: JEFFREY-M. ETTINGER, State: MN, District: 01
2023-10-11 14:01:39,234 - INFO - Download failed for candidate: RICHARD-E-MR. NEAL, State: MA, District: 01
2023-10-11 14:01:40,150 - INFO - Download failed for candidate: JOHN BERGMAN, State: MI, District: 01
2023-10-11 14:01:53,672 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103642370>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/a1cc1ec7-9fda-4fb9-bd49-54f619a8afab/execute/sync
2023-10-11 14:01:53,672 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10272ff40>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/a1cc1ec7-9fda-4fb9-bd49-54f619a8afab/execute/sync
2023-10-11 14:01:53,672 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x10272fa30>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/a1cc1ec7-9fda-4fb9-bd49-54f619a8afab/execute/sync
2023-10-11 14:01:55,606 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x103612d90>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/f497a23d-1171-4c2e-846a-9f84b26f084d/execute/sync
2023-10-11 14:01:55,606 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102866130>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/f497a23d-1171-4c2e-846a-9f84b26f084d/execute/sync
2023-10-11 14:01:55,607 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102866280>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/f497a23d-1171-4c2e-846a-9f84b26f084d/execute/sync
2023-10-11 14:01:55,932 - WARNING - Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1036428b0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/b1f106cf-8ba5-4152-bc19-a4156e9bdf98/execute/sync
2023-10-11 14:01:55,932 - WARNING - Retrying (Retry(total=1, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x102869040>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/b1f106cf-8ba5-4152-bc19-a4156e9bdf98/execute/sync
2023-10-11 14:01:55,933 - WARNING - Retrying (Retry(total=0, connect=None, read=None, redirect=None, status=None)) after connection broken by 'NewConnectionError('<urllib3.connection.HTTPConnection object at 0x1028691f0>: Failed to establish a new connection: [Errno 61] Connection refused')': /session/b1f106cf-8ba5-4152-bc19-a4156e9bdf98/execute/sync
